Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	164.16748	-94.402077	-76.088947	49.76749	6.32E-29	3.1152907
1050	163.2126	-93.961356	-75.754745	24.970906	8.69E-03	3.029846
1100	166.09225	-93.56219	-75.03435	-14.647945	0.035287566	2.8313303
1150	171.39462	-93.330863	-74.211535	-66.419692	0.079295092	2.5335914
1200	172.17733	-93.225865	-74.019225	-112.39965	0.1367204	2.1361538
1250	169.44248	-93.116475	-74.214911	-116.57655	0.20100619	1.6976484
1300	164.97046	-92.944201	-74.541499	-65.554447	0.26790792	1.2530536
1350	161.58399	-92.813975	-74.789038	14.146189	0.33747917	0.82013032
1400	162.27739	-92.917587	-74.8153	71.589296	0.41102217	0.41861945
1450	166.11888	-93.216833	-74.686022	83.195101	0.48834015	0.070085696
1500	169.88874	-93.493921	-74.542576	58.981439	0.56835499	-0.21380389
1550	170.363	-93.641943	-74.637694	15.933818	0.64983967	-0.43045447
1600	164.65251	-93.626871	-75.259635	-28.287264	0.73047031	-0.5798426
1650	158.41966	-93.567464	-75.895512	-58.082081	0.80673288	-0.6760916
1700	157.18866	-93.58229	-76.047659	-62.835913	0.8763907	-0.73855342
1750	159.90482	-93.654147	-75.816524	-37.123052	0.93936809	-0.77379274
1800	164.01219	-93.64546	-75.349653	20.298596	0.99768157	-0.78365886
1850	166.52715	-93.52013	-74.943775	84.377778	1.0538284	-0.76656332
1900	167.55782	-93.432553	-74.741227	107.90773	1.1089618	-0.72595576
1950	167.70862	-93.425878	-74.717729	72.471975	1.163878	-0.67226286
2000	165.51622	-93.27741	-74.813826	10.12597	1.2199363	-0.61511412
