# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.12083 0.0532407
21 4.1 0.974473 0.527778
22 4.3 2.38126 1.80324
23 4.5 2.48607 3.26157
24 4.7 2.50693 4.86574
25 4.9 2.16004 6.36806
26 5.1 1.59149 7.56713
27 5.3 1.29443 8.62037
28 5.5 1.04614 9.53704
29 5.7 0.870721 10.3565
30 5.9 0.709386 11.0718
31 6.1 0.704442 11.831
32 6.3 0.618145 12.5417
33 6.5 0.506925 13.162
34 6.7 0.583931 13.9213
35 6.9 0.644574 14.8102
36 7.1 0.699138 15.831
37 7.3 0.748337 16.9861
38 7.5 0.896501 18.4468
39 7.7 1.01094 20.1829
40 7.9 1.03083 22.0463
41 8.1 1.19981 24.3264
42 8.3 1.2181 26.7569
43 8.5 1.28866 29.4537
44 8.7 1.25016 32.1944
45 8.9 1.22487 35.0046
46 9.1 1.19286 37.8657
47 9.3 1.16705 40.7894
48 9.5 1.05645 43.5509
49 9.7 0.964916 46.1806
50 9.9 0.934478 48.8333
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0.00585966 0.00231481
20 3.9 0.142404 0.0648148
21 4.1 0.925826 0.513889
22 4.3 2.22145 1.69907
23 4.5 2.63455 3.23843
24 4.7 2.54588 4.86111
25 4.9 2.12513 6.33333
26 5.1 1.63479 7.56019
27 5.3 1.22528 8.55324
28 5.5 1.02906 9.45139
29 5.7 0.903792 10.2986
30 5.9 0.732931 11.0347
31 6.1 0.694287 11.7801
32 6.3 0.616544 12.4861
33 6.5 0.516523 13.1157
34 6.7 0.625558 13.9259
35 6.9 0.596563 14.7454
36 7.1 0.697124 15.7593
37 7.3 0.76936 16.9421
38 7.5 0.890057 18.3866
39 7.7 0.979748 20.0625
40 7.9 1.07604 22
41 8.1 1.15197 24.1806
42 8.3 1.2066 26.5787
43 8.5 1.30041 29.2894
44 8.7 1.28053 32.0856
45 8.9 1.21249 34.8565
46 9.1 1.21888 37.7685
47 9.3 1.12899 40.5856
48 9.5 1.04639 43.3102
49 9.7 0.992603 46.0046
50 9.9 0.920159 48.6065
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
