# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0.00624164 0.00231481
20 3.9 0.151687 0.0648148
21 4.1 0.976013 0.509259
22 4.3 2.1167 1.56944
23 4.5 2.46869 2.92361
24 4.7 2.35594 4.33333
25 4.9 2.00029 5.63426
26 5.1 1.64936 6.7963
27 5.3 1.27169 7.76389
28 5.5 1.03116 8.6088
29 5.7 0.936405 9.43287
30 5.9 0.778255 10.1667
31 6.1 0.672941 10.8449
32 6.3 0.701953 11.5995
33 6.5 0.748426 12.456
34 6.7 0.672049 13.2731
35 6.9 0.685714 14.1574
36 7.1 0.732397 15.1574
37 7.3 0.781024 16.2847
38 7.5 0.835646 17.5579
39 7.7 0.935507 19.0602
40 7.9 1.09141 20.9051
41 8.1 1.08117 22.8264
42 8.3 1.14135 24.956
43 8.5 1.16989 27.2454
44 8.7 1.18673 29.6782
45 8.9 1.27103 32.4051
46 9.1 1.17449 35.0394
47 9.3 1.10575 37.6296
48 9.5 1.06157 40.2245
49 9.7 1.00553 42.787
50 9.9 0.960086 45.3356
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.229017 0.0949074
21 4.1 1.08666 0.592593
22 4.3 1.97129 1.58565
23 4.5 2.54264 2.98843
24 4.7 2.3655 4.41204
25 4.9 1.97111 5.70139
26 5.1 1.57783 6.81944
27 5.3 1.27044 7.79167
28 5.5 1.03087 8.6412
29 5.7 0.897034 9.43519
30 5.9 0.810404 10.2037
31 6.1 0.659946 10.8727
32 6.3 0.704348 11.6343
33 6.5 0.744132 12.4907
34 6.7 0.683336 13.3264
35 6.9 0.687134 14.2176
36 7.1 0.772021 15.2778
37 7.3 0.747841 16.3634
38 7.5 0.814235 17.6111
39 7.7 1.0018 19.2292
40 7.9 1.0797 21.0648
41 8.1 1.08921 23.0116
42 8.3 1.16564 25.1991
43 8.5 1.14201 27.4468
44 8.7 1.22034 29.963
45 8.9 1.26588 32.6944
46 9.1 1.13081 35.2454
47 9.3 1.11021 37.8611
48 9.5 1.06113 40.4699
49 9.7 0.999765 43.0324
50 9.9 0.95371 45.5787
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
