Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	145.98632	-97.843371	-81.558378	35.16612	1.27E-02	2.7702795
1050	145.72647	-97.8671	-81.611093	38.357847	0.006913695	2.6958887
1100	144.27534	-97.885237	-81.791106	18.082521	0.027122964	2.4756699
1150	142.70689	-97.96908	-82.049911	-20.972981	0.05941993	2.147825
1200	141.93335	-98.108007	-82.275128	-54.335973	0.10215356	1.7648831
1250	141.51538	-98.168626	-82.382373	-50.099469	0.15355851	1.3635759
1300	141.67648	-98.117856	-82.313631	-3.5488754	0.21228207	0.96335422
1350	144.02193	-98.053004	-81.987141	55.174553	0.2768745	0.57900341
1400	148.52962	-98.063128	-81.494426	84.047935	0.34482419	0.22443781
1450	151.87921	-98.139023	-81.196668	59.269802	0.41345803	-0.084033022
1500	151.92075	-98.224237	-81.277249	-7.7308195	0.48177167	-0.32840298
1550	148.11331	-98.279791	-81.757528	-78.545533	0.54956877	-0.4997227
1600	143.60347	-98.268919	-82.249736	-106.86844	0.61547266	-0.60721898
1650	141.82021	-98.232381	-82.412123	-73.00589	0.67864958	-0.66852173
1700	141.7796	-98.196587	-82.38086	6.0768677	0.7400395	-0.69057447
1750	143.38576	-98.195943	-82.201046	87.637483	0.79977365	-0.67884935
1800	146.3954	-98.27086	-81.940232	122.15396	0.85512583	-0.64056457
1850	149.08708	-98.368861	-81.737973	89.444699	0.9038288	-0.58487475
1900	149.12592	-98.36445	-81.729229	13.33753	0.94777658	-0.51968288
1950	145.45805	-98.230637	-82.004572	-65.479471	0.99030218	-0.44924045
2000	139.60097	-98.094423	-82.521724	-115.62346	1.031701	-0.37852442
