# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.154478 0.0740741
21 4.1 0.956605 0.581019
22 4.3 2.46217 2.0162
23 4.5 3.00608 3.93519
24 4.7 2.83883 5.91204
25 4.9 2.17756 7.56019
26 5.1 1.53584 8.81944
27 5.3 1.24697 9.92361
28 5.5 0.837506 10.7222
29 5.7 0.644159 11.3819
30 5.9 0.523177 11.956
31 6.1 0.507197 12.5509
32 6.3 0.57542 13.2708
33 6.5 0.514485 13.956
34 6.7 0.561118 14.75
35 6.9 0.58305 15.625
36 7.1 0.632247 16.6296
37 7.3 0.72624 17.8495
38 7.5 0.909969 19.463
39 7.7 1.09741 21.5139
40 7.9 1.29084 24.0532
41 8.1 1.36444 26.875
42 8.3 1.43273 29.9861
43 8.5 1.40574 33.1875
44 8.7 1.3341 36.3704
45 8.9 1.17283 39.2986
46 9.1 1.12007 42.2222
47 9.3 0.969674 44.8657
48 9.5 0.917071 47.4745
49 9.7 0.847643 49.9884
50 9.9 0.851957 52.6204
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0.00541595 0.00231481
20 3.9 0.126746 0.0625
21 4.1 1.04539 0.611111
22 4.3 2.20161 1.88194
23 4.5 2.9953 3.77546
24 4.7 2.88012 5.76157
25 4.9 2.14643 7.37037
26 5.1 1.68776 8.74074
27 5.3 1.23545 9.82407
28 5.5 0.909462 10.6829
29 5.7 0.62081 11.3125
30 5.9 0.541093 11.9005
31 6.1 0.512175 12.4954
32 6.3 0.558647 13.1875
33 6.5 0.528311 13.8843
34 6.7 0.53689 14.6366
35 6.9 0.612136 15.5463
36 7.1 0.634039 16.544
37 7.3 0.71806 17.7384
38 7.5 0.833207 19.2014
39 7.7 1.06441 21.1713
40 7.9 1.28568 23.6759
41 8.1 1.36427 26.4699
42 8.3 1.46402 29.6181
43 8.5 1.41338 32.8056
44 8.7 1.33249 35.9537
45 8.9 1.20775 38.9398
46 9.1 1.08539 41.7454
47 9.3 0.964615 44.3495
48 9.5 0.95894 47.0509
49 9.7 0.860692 49.5787
50 9.9 0.855022 52.1944
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
