Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	148.3374	-97.32321	-80.77595	119.32723	2.53E-02	2.8148943
1050	147.75567	-97.119752	-80.637385	136.00052	6.99E-03	2.7303753
1100	148.64993	-97.011127	-80.429003	73.024317	0.02838335	2.5118865
1150	151.19285	-97.013946	-80.148156	-35.520526	0.065440483	2.1963619
1200	154.25623	-97.127529	-79.920014	-132.89815	0.11558365	1.824363
1250	155.43926	-97.294628	-79.955145	-169.516	0.17190303	1.42537
1300	152.25446	-97.486622	-80.502408	-131.20551	0.2302121	1.0148643
1350	146.30134	-97.686773	-81.366638	-34.810565	0.29222891	0.61552094
1400	145.20924	-97.891937	-81.693628	80.867528	0.36073884	0.25608326
1450	147.46399	-98.09836	-81.64853	152.72781	0.43311701	-0.057950721
1500	150.49372	-98.276059	-81.488259	146.18913	0.5038924	-0.31577533
1550	152.53275	-98.375815	-81.360557	75.794511	0.57199609	-0.50976186
1600	152.40571	-98.343098	-81.342012	-11.779985	0.63941489	-0.64270531
1650	150.02723	-98.235499	-81.499736	-76.74073	0.70553224	-0.72218367
1700	145.9191	-98.119939	-81.842444	-100.32009	0.76688171	-0.75465314
1750	143.00491	-98.181934	-82.229522	-93.979968	0.82110373	-0.7513115
1800	144.57312	-98.551742	-82.424394	-75.178982	0.86905554	-0.72770613
1850	149.82695	-99.076679	-82.363257	-41.527407	0.91366974	-0.69217264
1900	155.76159	-99.538103	-82.162663	8.6079138	0.95758307	-0.645293
1950	158.35961	-99.819294	-82.154041	58.392206	1.0010791	-0.5856877
2000	154.51688	-99.913513	-82.676922	82.17197	1.0419716	-0.5154918
