# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.117447 0.0578704
21 4.1 0.960685 0.581019
22 4.3 2.26469 1.9375
23 4.5 3.31709 4.11343
24 4.7 2.9632 6.2338
25 4.9 2.39293 8.09491
26 5.1 1.64572 9.48148
27 5.3 1.12955 10.5093
28 5.5 0.680371 11.1759
29 5.7 0.552085 11.7569
30 5.9 0.472181 12.2894
31 6.1 0.41292 12.787
32 6.3 0.44654 13.3611
33 6.5 0.495602 14.0394
34 6.7 0.58745 14.8935
35 6.9 0.625942 15.8588
36 7.1 0.633707 16.8935
37 7.3 0.701383 18.1042
38 7.5 0.894439 19.7338
39 7.7 1.07278 21.794
40 7.9 1.43712 24.6991
41 8.1 1.56637 28.0278
42 8.3 1.54159 31.4676
43 8.5 1.44913 34.8588
44 8.7 1.29357 38.0301
45 8.9 1.07097 40.7778
46 9.1 1.04168 43.5718
47 9.3 0.881674 46.0417
48 9.5 0.89404 48.6551
49 9.7 0.876543 51.3264
50 9.9 0.82909 53.9583
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.0662109 0.0324074
21 4.1 0.817345 0.474537
22 4.3 2.33822 1.86574
23 4.5 3.27182 3.99769
24 4.7 3.0319 6.15278
25 4.9 2.34304 7.96296
26 5.1 1.73143 9.41204
27 5.3 1.17553 10.4745
28 5.5 0.703955 11.1597
29 5.7 0.546926 11.7315
30 5.9 0.471211 12.2593
31 6.1 0.394419 12.7315
32 6.3 0.438656 13.2917
33 6.5 0.510842 13.9861
34 6.7 0.576961 14.8194
35 6.9 0.640713 15.8009
36 7.1 0.615117 16.7986
37 7.3 0.703382 18.0046
38 7.5 0.842875 19.5301
39 7.7 1.09574 21.6204
40 7.9 1.3868 24.4051
41 8.1 1.55493 27.6875
42 8.3 1.56131 31.1481
43 8.5 1.45286 34.5255
44 8.7 1.3355 37.7778
45 8.9 1.09541 40.5694
46 9.1 0.984364 43.1921
47 9.3 0.952465 45.8426
48 9.5 0.896841 48.4468
49 9.7 0.83883 50.9861
50 9.9 0.826569 53.5926
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
