Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	179.53067	-90.677995	-70.651079	136.15388	2.54E-02	3.4068271
1050	182.99125	-90.625634	-70.212684	177.38877	8.75E-03	3.353833
1100	177.27304	-90.329659	-70.554585	155.05196	0.033940296	3.0595507
1150	169.67103	-90.010487	-71.083429	68.462814	0.076387112	2.6255588
1200	165.45899	-89.823341	-71.366142	-49.498972	0.13693531	2.1569378
1250	164.79186	-89.70941	-71.32663	-143.29126	0.20998997	1.7080249
1300	166.90543	-89.664587	-71.046035	-178.05704	0.28522406	1.2943852
1350	171.0972	-89.721002	-70.634852	-147.94267	0.35723371	0.91334663
1400	174.83932	-89.803342	-70.299752	-64.057641	0.42944369	0.55815576
1450	175.78991	-89.812373	-70.202744	43.543077	0.50775804	0.23152974
1500	173.23791	-89.760959	-70.436009	128.25619	0.59253599	-0.053141967
1550	165.95928	-89.711901	-71.198893	145.88198	0.67847055	-0.27944579
1600	158.88944	-89.748998	-72.024642	94.420934	0.76086597	-0.44092286
1650	158.94516	-89.773873	-72.043302	21.485286	0.84017416	-0.55262321
1700	162.28253	-89.698552	-71.595692	-38.305865	0.9171811	-0.62483238
1750	166.38676	-89.610186	-71.049493	-70.618338	0.99040883	-0.66697668
1800	169.81858	-89.563736	-70.620218	-73.004565	1.0582676	-0.68440152
1850	172.02557	-89.536664	-70.346953	-47.744187	1.1210262	-0.67974582
1900	172.57252	-89.468306	-70.217581	-3.1928384	1.1805757	-0.65626753
1950	171.12368	-89.322729	-70.233625	45.029553	1.2387852	-0.61863988
2000	169.23447	-89.175743	-70.297382	69.771288	1.2964521	-0.57184753
