Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	145.1627	-98.29657	-82.103452	-41.411524	3.81E-02	2.7546504
1050	149.88258	-98.380617	-81.66099	-141.06523	8.25E-03	2.7243111
1100	156.99018	-98.582159	-81.069669	-181.58957	0.030285623	2.5894111
1150	159.89344	-98.781804	-80.94545	-138.53502	0.063705144	2.3248453
1200	159.25578	-98.884605	-81.119383	-20.52744	0.1106969	1.959095
1250	156.81334	-98.907525	-81.414761	117.11413	0.17239179	1.5236921
1300	154.58396	-98.974963	-81.73089	191.4618	0.24176284	1.057533
1350	153.99628	-99.181427	-82.00291	153.39291	0.31000278	0.61029014
1400	154.03319	-99.390015	-82.207382	36.340567	0.37648086	0.22002678
1450	153.65448	-99.50911	-82.368721	-87.736061	0.4450841	-0.099707543
1500	152.42559	-99.544762	-82.541458	-157.44864	0.51583178	-0.35196811
1550	150.30034	-99.564145	-82.797915	-146.75189	0.58593641	-0.5471027
1600	148.69492	-99.646727	-83.059585	-67.490186	0.65514449	-0.6956862
1650	150.00142	-99.762925	-83.030041	45.151158	0.72457912	-0.80572016
1700	154.64534	-99.862199	-82.611279	139.89139	0.79126002	-0.88030898
1750	160.09326	-99.962679	-82.104035	161.80739	0.84867117	-0.91491747
1800	163.20854	-100.13339	-81.927235	92.376279	0.89457461	-0.90669219
1850	161.6064	-100.21551	-82.188075	-16.074173	0.93387384	-0.86159534
1900	155.64712	-100.13576	-82.773086	-97.086119	0.97133178	-0.79137805
1950	151.10992	-99.997454	-83.140916	-116.64044	1.0074454	-0.71413209
2000	150.50354	-99.982251	-83.193354	-85.205713	1.0418608	-0.63551872
