# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0.00550239 0.00231481
20 3.9 0.173342 0.0833333
21 4.1 1.05759 0.62963
22 4.3 2.33046 1.9537
23 4.5 2.92778 3.77546
24 4.7 2.53048 5.49306
25 4.9 2.10224 7.04398
26 5.1 1.67414 8.38194
27 5.3 1.20958 9.42593
28 5.5 0.976279 10.3333
29 5.7 0.788398 11.1204
30 5.9 0.631972 11.7963
31 6.1 0.518325 12.3889
32 6.3 0.552378 13.0625
33 6.5 0.508212 13.7222
34 6.7 0.595809 14.544
35 6.9 0.56652 15.3727
36 7.1 0.63818 16.3611
37 7.3 0.815763 17.6968
38 7.5 0.896063 19.2454
39 7.7 1.03692 21.1343
40 7.9 1.1553 23.3495
41 8.1 1.35044 26.0718
42 8.3 1.32989 28.8866
43 8.5 1.3619 31.9097
44 8.7 1.36372 35.081
45 8.9 1.22988 38.0741
46 9.1 1.09271 40.8542
47 9.3 1.02792 43.5856
48 9.5 0.98009 46.3032
49 9.7 0.879234 48.8449
50 9.9 0.864056 51.4468
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0.00551092 0.00231481
20 3.9 0.143849 0.0694444
21 4.1 1.12207 0.648148
22 4.3 2.32999 1.96991
23 4.5 2.82054 3.72222
24 4.7 2.61638 5.49537
25 4.9 2.07722 7.02546
26 5.1 1.71155 8.3912
27 5.3 1.15773 9.38889
28 5.5 0.952847 10.2731
29 5.7 0.850002 11.1204
30 5.9 0.580928 11.7407
31 6.1 0.569824 12.3912
32 6.3 0.526617 13.0324
33 6.5 0.555434 13.7523
34 6.7 0.514366 14.4606
35 6.9 0.630794 15.3819
36 7.1 0.658628 16.4005
37 7.3 0.768882 17.6574
38 7.5 0.913549 19.2338
39 7.7 0.996527 21.0463
40 7.9 1.17644 23.2986
41 8.1 1.31688 25.9491
42 8.3 1.42506 28.9606
43 8.5 1.32328 31.8935
44 8.7 1.33492 34.9931
45 8.9 1.20034 37.9097
46 9.1 1.10625 40.7199
47 9.3 1.09233 43.6181
48 9.5 0.955688 46.2639
49 9.7 0.891824 48.838
50 9.9 0.863855 51.4352
1200 50
1 0.1 0 0
2 0.3 0 0
