# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.136125 0.0671296
21 4.1 1.04058 0.634259
22 4.3 2.59488 2.18981
23 4.5 3.0534 4.19444
24 4.7 2.91547 6.28241
25 4.9 2.13815 7.94676
26 5.1 1.5565 9.25926
27 5.3 1.12861 10.287
28 5.5 0.880437 11.1505
29 5.7 0.580193 11.7616
30 5.9 0.453325 12.2731
31 6.1 0.497009 12.8727
32 6.3 0.451564 13.4537
33 6.5 0.507018 14.1481
34 6.7 0.516969 14.9005
35 6.9 0.583423 15.8009
36 7.1 0.668589 16.8935
37 7.3 0.791913 18.2616
38 7.5 0.879727 19.8657
39 7.7 1.15257 22.081
40 7.9 1.36612 24.8449
41 8.1 1.51173 28.0602
42 8.3 1.43353 31.2616
43 8.5 1.33228 34.3819
44 8.7 1.31418 37.6065
45 8.9 1.18186 40.6412
46 9.1 1.03908 43.4306
47 9.3 1.02212 46.2963
48 9.5 0.949469 49.0741
49 9.7 0.829515 51.6042
50 9.9 0.81091 54.1806
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.0989787 0.0486111
21 4.1 1.07898 0.634259
22 4.3 2.41945 2.0787
23 4.5 3.10138 4.10648
24 4.7 2.94694 6.20833
25 4.9 2.16786 7.88889
26 5.1 1.59323 9.22685
27 5.3 1.14857 10.2685
28 5.5 0.829548 11.0787
29 5.7 0.635543 11.7454
30 5.9 0.494325 12.3009
31 6.1 0.445103 12.8356
32 6.3 0.458842 13.4236
33 6.5 0.53456 14.1528
34 6.7 0.495138 14.8704
35 6.9 0.597873 15.7894
36 7.1 0.661385 16.8657
37 7.3 0.784409 18.2153
38 7.5 0.876974 19.8079
39 7.7 1.08597 21.8866
40 7.9 1.366 24.6389
41 8.1 1.50046 27.8171
42 8.3 1.41237 30.9583
43 8.5 1.39135 34.2037
44 8.7 1.33665 37.4699
45 8.9 1.17949 40.4861
46 9.1 1.07799 43.3681
47 9.3 1.0371 46.2639
48 9.5 0.88823 48.8519
49 9.7 0.825308 51.3588
50 9.9 0.833269 53.9954
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
