Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	171.61063	-78.382552	-59.239127	-83.505604	1.28E-02	3.2565341
1050	173.3048	-78.159057	-58.826645	-16.849804	0.008431259	3.2036692
1100	177.30013	-77.929412	-58.151316	56.789788	0.033768536	3.0341213
1150	179.43594	-77.757902	-57.741553	99.371554	0.074203022	2.724916
1200	180.78466	-77.732285	-57.565484	91.819496	0.12724914	2.3280331
1250	181.85491	-77.771872	-57.485683	48.371052	0.19254122	1.9079732
1300	181.72225	-77.765334	-57.493943	-3.6197394	0.27035432	1.5046454
1350	179.79487	-77.672593	-57.616205	-40.921275	0.35877444	1.1417555
1400	176.18953	-77.432416	-57.778208	-47.795879	0.45380437	0.83092166
1450	173.11701	-77.127937	-57.816474	-28.541187	0.55190982	0.5736295
1500	174.56884	-76.884229	-57.410812	2.0381464	0.65202813	0.3657648
1550	181.25404	-76.749479	-56.530318	28.387371	0.75566755	0.19900945
1600	184.71017	-76.613315	-56.008617	40.549415	0.86424351	0.064566272
1650	183.89354	-76.420698	-55.907096	37.704557	0.97755717	-0.038323437
1700	181.44413	-76.246235	-56.00587	17.948199	1.0948505	-0.10973416
1750	178.94037	-76.158673	-56.197606	-14.149191	1.2142343	-0.15296675
1800	177.02165	-76.11616	-56.369129	-43.799795	1.332169	-0.173851
1850	175.83605	-76.089224	-56.474448	-57.530302	1.4447883	-0.1786518
1900	176.19387	-76.050798	-56.396107	-48.428575	1.5503577	-0.17336932
1950	180.56981	-76.0861	-55.943266	-23.445489	1.6508686	-0.16460307
2000	186.49097	-76.118686	-55.315337	11.8894	1.7509689	-0.15618716
