# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.120555 0.0601852
21 4.1 0.977548 0.599537
22 4.3 2.49459 2.11343
23 4.5 3.13112 4.19444
24 4.7 3.04915 6.40509
25 4.9 2.32066 8.2338
26 5.1 1.65413 9.64583
27 5.3 1.12489 10.6829
28 5.5 0.715816 11.3935
29 5.7 0.460233 11.8843
30 5.9 0.431589 12.3773
31 6.1 0.426501 12.8981
32 6.3 0.474493 13.5162
33 6.5 0.560937 14.294
34 6.7 0.520094 15.0602
35 6.9 0.561496 15.9375
36 7.1 0.645047 17.0046
37 7.3 0.72402 18.2708
38 7.5 0.872764 19.8819
39 7.7 1.19563 22.2083
40 7.9 1.40372 25.0833
41 8.1 1.55028 28.4213
42 8.3 1.65463 32.162
43 8.5 1.42733 35.5463
44 8.7 1.23013 38.6019
45 8.9 1.08909 41.4329
46 9.1 0.982973 44.1042
47 9.3 0.867751 46.5671
48 9.5 0.894908 49.2176
49 9.7 0.883875 51.9468
50 9.9 0.864358 54.7269
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.102965 0.0509259
21 4.1 0.986721 0.590278
22 4.3 2.43714 2.05556
23 4.5 3.0937 4.09259
24 4.7 2.96496 6.22222
25 4.9 2.42249 8.11343
26 5.1 1.6587 9.5162
27 5.3 1.1101 10.5301
28 5.5 0.750775 11.2685
29 5.7 0.499612 11.7963
30 5.9 0.472453 12.331
31 6.1 0.453463 12.8796
32 6.3 0.435894 13.4421
33 6.5 0.557775 14.2083
34 6.7 0.51863 14.9653
35 6.9 0.619104 15.9236
36 7.1 0.591781 16.8935
37 7.3 0.6747 18.0625
38 7.5 0.929052 19.7616
39 7.7 1.16242 22.0023
40 7.9 1.35072 24.7431
41 8.1 1.5442 28.037
42 8.3 1.58954 31.5972
43 8.5 1.48901 35.0949
44 8.7 1.20311 38.0556
45 8.9 1.1038 40.8981
46 9.1 1.01713 43.6366
47 9.3 0.89565 46.1551
48 9.5 0.923817 48.8657
49 9.7 0.902006 51.625
50 9.9 0.861572 54.3704
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
