# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
31 6.1 0.470552 12.8611
32 6.3 0.480605 13.4815
33 6.5 0.50708 14.1782
34 6.7 0.526414 14.9468
35 6.9 0.608467 15.8889
36 7.1 0.672098 16.9907
37 7.3 0.703897 18.2106
38 7.5 0.930059 19.912
39 7.7 1.16209 22.1528
40 7.9 1.42904 25.0532
41 8.1 1.44505 28.1366
42 8.3 1.43101 31.3426
43 8.5 1.33294 34.4745
44 8.7 1.3034 37.6829
45 8.9 1.16999 40.6968
46 9.1 1.12257 43.7199
47 9.3 1.02132 46.5926
48 9.5 0.904631 49.2477
49 9.7 0.855608 51.8657
50 9.9 0.83083 54.5139
1500 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.0939694 0.0462963
21 4.1 0.965057 0.571759
22 4.3 2.40798 2.01389
23 4.5 3.31398 4.1875
24 4.7 2.97328 6.31481
25 4.9 2.2444 8.06019
26 5.1 1.50579 9.3287
27 5.3 1.08135 10.3125
28 5.5 0.777327 11.0741
29 5.7 0.626948 11.7338
30 5.9 0.470187 12.2639
31 6.1 0.422576 12.7731
32 6.3 0.518628 13.4398
33 6.5 0.514273 14.1435
34 6.7 0.550903 14.9444
35 6.9 0.568973 15.8218
36 7.1 0.681994 16.9352
37 7.3 0.733661 18.2014
38 7.5 0.842454 19.7361
39 7.7 1.22722 22.0926
40 7.9 1.33423 24.7894
41 8.1 1.49248 27.9606
42 8.3 1.41105 31.1088
43 8.5 1.37808 34.3333
44 8.7 1.30506 37.5324
45 8.9 1.18029 40.5602
46 9.1 1.13762 43.6111
47 9.3 0.971038 46.331
48 9.5 0.92504 49.0347
49 9.7 0.870576 51.6875
50 9.9 0.832841 54.331
1600 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.0377489 0.0185185
21 4.1 0.90515 0.509259
22 4.3 2.47653 1.98611
23 4.5 3.27857 4.12731
24 4.7 2.96328 6.23843
25 4.9 2.30185 8.02083
26 5.1 1.52605 9.30093
27 5.3 1.0681 10.2685
28 5.5 0.811506 11.0602
29 5.7 0.636263 11.7269
30 5.9 0.455707 12.2384
31 6.1 0.422459 12.7454
32 6.3 0.508192 13.3958
33 6.5 0.519875 14.1042
34 6.7 0.529279 14.8704
35 6.9 0.562366 15.7338
36 7.1 0.673526 16.8287
37 7.3 0.746235 18.1111
