Step	Temp	E_pair	TotEng	Press	c_myMSD[4]	c_myVACF[4]
1000	158.19057	-96.485831	-78.839435	-47.335903	1.29E-29	3.001871
1050	157.35153	-96.278347	-78.725547	-11.308925	7.45E-03	2.91521
1100	159.02376	-96.194344	-78.455003	21.580019	0.029509326	2.7058975
1150	161.4684	-96.056971	-78.044928	50.815493	0.065329135	2.389039
1200	163.06662	-95.805147	-77.614821	65.807536	0.1133792	1.9835851
1250	163.99888	-95.564774	-77.270452	45.656983	0.17188149	1.5228432
1300	164.69143	-95.432032	-77.060454	-8.4806451	0.23933529	1.0524041
1350	163.87505	-95.296869	-77.01636	-61.824967	0.31350544	0.61089742
1400	158.48506	-95.000006	-77.320759	-77.151507	0.39025082	0.2201977
1450	151.3703	-94.61665	-77.731066	-51.274164	0.46504223	-0.11156487
1500	150.40184	-94.527818	-77.750266	-22.920934	0.53589785	-0.38663881
1550	156.11843	-94.67264	-77.257395	1.6897977	0.60343357	-0.6065784
1600	161.87492	-94.712557	-76.655166	36.252602	0.66896864	-0.76596313
1650	163.45321	-94.581575	-76.348124	64.6279	0.73259049	-0.86004669
1700	162.91665	-94.457269	-76.283671	56.624295	0.79360052	-0.8975735
1750	161.82206	-94.432448	-76.380954	6.033163	0.85177772	-0.8910437
1800	160.10984	-94.477369	-76.616876	-61.96886	0.906748	-0.85228068
1850	157.91864	-94.575	-76.958938	-114.56759	0.95638783	-0.79248726
1900	155.64548	-94.759332	-77.396844	-126.17361	0.99787364	-0.72270681
1950	153.99516	-95.031163	-77.852771	-83.02131	1.0314368	-0.65453012
2000	152.9971	-95.263226	-78.196169	15.589081	1.0618869	-0.59553756
