# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0.00528947 0.00231481
20 3.9 0.104742 0.0532407
21 4.1 0.95205 0.564815
22 4.3 2.27945 1.91204
23 4.5 3.09344 3.91435
24 4.7 3.01939 6.0463
25 4.9 2.25315 7.77546
26 5.1 1.61771 9.12037
27 5.3 1.1834 10.1829
28 5.5 0.857099 11.0116
29 5.7 0.630832 11.6667
30 5.9 0.438994 12.1551
31 6.1 0.435984 12.6736
32 6.3 0.489034 13.294
33 6.5 0.491974 13.9583
34 6.7 0.632449 14.8657
35 6.9 0.640435 15.8403
36 7.1 0.58906 16.7894
37 7.3 0.699932 17.9815
38 7.5 0.824049 19.463
39 7.7 1.07375 21.4977
40 7.9 1.3543 24.1991
41 8.1 1.45273 27.2454
42 8.3 1.56335 30.6875
43 8.5 1.45255 34.0417
44 8.7 1.32625 37.25
45 8.9 1.16217 40.1921
46 9.1 1.01281 42.8727
47 9.3 0.950462 45.5
48 9.5 0.861109 47.9838
49 9.7 0.84752 50.5324
50 9.9 0.914865 53.3981
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 0 0
6 1.1 0 0
7 1.3 0 0
8 1.5 0 0
9 1.7 0 0
10 1.9 0 0
11 2.1 0 0
12 2.3 0 0
13 2.5 0 0
14 2.7 0 0
15 2.9 0 0
16 3.1 0 0
17 3.3 0 0
18 3.5 0 0
19 3.7 0 0
20 3.9 0.11412 0.0555556
21 4.1 1.0283 0.608796
22 4.3 2.33917 1.99306
23 4.5 3.0467 3.96759
24 4.7 2.78314 5.93519
25 4.9 2.43408 7.80556
26 5.1 1.59344 9.13194
27 5.3 1.14072 10.1574
28 5.5 0.856025 10.9861
29 5.7 0.625589 11.6366
30 5.9 0.502859 12.1968
31 6.1 0.44127 12.7222
32 6.3 0.448326 13.2917
33 6.5 0.491358 13.956
34 6.7 0.64777 14.8866
35 6.9 0.64419 15.8681
36 7.1 0.585452 16.8125
37 7.3 0.712628 18.0278
38 7.5 0.8886 19.6273
39 7.7 1.01385 21.5509
40 7.9 1.35144 24.25
41 8.1 1.42776 27.2477
42 8.3 1.55089 30.6667
43 8.5 1.47676 34.081
44 8.7 1.33511 37.3148
45 8.9 1.12236 40.1597
46 9.1 1.01154 42.8403
47 9.3 0.968507 45.5208
48 9.5 0.892891 48.0995
49 9.7 0.849533 50.6574
50 9.9 0.862792 53.3634
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
