Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
430000	430	14364	886.01018	-46515.349	1644.9341	-44870.415	2.5956655
435000	435	14364	872.1972	-46484.793	1619.2894	-44865.503	2.5748321
440000	440	14364	880.35504	-46409.09	1634.435	-44774.655	2.5554394
445000	445	14364	885.53669	-46499.893	1644.0551	-44855.838	2.5920255
450000	450	14364	884.08132	-46503.585	1641.3531	-44862.232	2.5813119
455000	455	14364	885.27767	-46418.173	1643.5742	-44774.599	2.5556371
460000	460	14364	884.27914	-46490.846	1641.7203	-44849.126	2.5830957
465000	465	14364	874.35995	-46491.15	1623.3047	-44867.845	2.5895822
470000	470	14364	877.86571	-46423.1	1629.8134	-44793.286	2.5582965
475000	475	14364	877.29411	-46480.277	1628.7522	-44851.525	2.5715544
480000	480	14364	873.96717	-46490.712	1622.5755	-44868.137	2.5911366
485000	485	14364	883.97403	-46442.353	1641.1539	-44801.199	2.5598198
490000	490	14364	880.05238	-46480.811	1633.8731	-44846.938	2.5676595
495000	495	14364	879.83308	-46489.883	1633.4659	-44856.417	2.5935624
500000	500	14364	878.58389	-46445.194	1631.1467	-44814.048	2.5666816
505000	505	14364	881.01704	-46442.578	1635.664	-44806.914	2.5636312
510000	510	14364	890.45006	-46485.636	1653.177	-44832.459	2.5927457
515000	515	14364	884.56842	-46472.543	1642.2574	-44830.285	2.571164
520000	520	14364	884.39737	-46440.832	1641.9398	-44798.892	2.5601724
525000	525	14364	882.0011	-46498.509	1637.491	-44861.018	2.5892849
530000	530	14364	886.07082	-46498.199	1645.0467	-44853.153	2.5808383
535000	535	14364	881.0131	-46414.302	1635.6567	-44778.645	2.561289
540000	540	14364	891.25936	-46484.688	1654.6796	-44830.008	2.5863874
545000	545	14364	866.66323	-46502.968	1609.0153	-44893.953	2.5834582
550000	550	14364	876.50414	-46427.015	1627.2856	-44799.729	2.5593349
555000	555	14364	874.97421	-46488.96	1624.4452	-44864.515	2.5829182
560000	560	14364	880.48655	-46497.935	1634.6792	-44863.256	2.5882759
565000	565	14364	882.77266	-46440.46	1638.9235	-44801.537	2.5645867
570000	570	14364	875.81708	-46465.491	1626.01	-44839.481	2.5787823
575000	575	14364	883.96868	-46496.811	1641.144	-44855.667	2.5883675
580000	580	14364	874.15563	-46424.373	1622.9254	-44801.448	2.567371
585000	585	14364	870.62148	-46455.11	1616.364	-44838.746	2.5709511
590000	590	14364	881.46577	-46501.396	1636.4971	-44864.899	2.5912229
595000	595	14364	887.90659	-46475.968	1648.4549	-44827.513	2.5641643
600000	600	14364	874.60189	-46455.652	1623.7539	-44831.898	2.5670607
605000	605	14364	879.63925	-46519.159	1633.1061	-44886.052	2.5888123
610000	610	14364	884.44128	-46469.337	1642.0214	-44827.315	2.5734018
615000	615	14364	880.88182	-46447.624	1635.413	-44812.211	2.5654466
620000	620	14364	881.68229	-46499.106	1636.8991	-44862.207	2.5837978
625000	625	14364	874.19479	-46473.933	1622.9981	-44850.935	2.5802764
630000	630	14364	883.51638	-46452.469	1640.3042	-44812.165	2.5659292
635000	635	14364	875.65468	-46522.748	1625.7085	-44897.04	2.5814886
640000	640	14364	890.31851	-46488.626	1652.9328	-44835.693	2.5834925
645000	645	14364	882.94294	-46471.174	1639.2396	-44831.935	2.5684897
650000	650	14364	887.71506	-46501.14	1648.0993	-44853.041	2.573955
655000	655	14364	886.41215	-46507.722	1645.6804	-44862.041	2.5859036
660000	660	14364	879.00124	-46456.845	1631.9216	-44824.924	2.5640351
665000	665	14364	876.77432	-46485.003	1627.7872	-44857.216	2.5784079
670000	670	14364	897.32054	-46506.051	1665.9325	-44840.118	2.5865752
675000	675	14364	880.30881	-46470.469	1634.3492	-44836.12	2.5651459
680000	680	14364	886.94402	-46492.284	1646.6679	-44845.616	2.5729898
685000	685	14364	878.96944	-46494.413	1631.8625	-44862.55	2.5859621
690000	690	14364	884.12137	-46469.459	1641.4274	-44828.032	2.5671611
695000	695	14364	885.61727	-46488.067	1644.2047	-44843.862	2.5706752
700000	700	14364	882.39058	-46505.198	1638.2141	-44866.984	2.5836482
705000	705	14364	874.9418	-46476.3	1624.385	-44851.915	2.5737375
710000	710	14364	882.00205	-46458.357	1637.4928	-44820.865	2.5684706
715000	715	14364	873.7682	-46500.872	1622.2061	-44878.666	2.5803261
720000	720	14364	892.31688	-46466.49	1656.6429	-44809.847	2.5802078
725000	725	14364	881.56954	-46463.805	1636.6898	-44827.116	2.5691667
730000	730	14364	871.72557	-46491.255	1618.4138	-44872.841	2.5845614
735000	735	14364	882.922	-46498.768	1639.2007	-44859.567	2.5771708
740000	740	14364	887.83216	-46473.869	1648.3167	-44825.553	2.5686294
745000	745	14364	888.91817	-46498.573	1650.333	-44848.24	2.5780338
750000	750	14364	882.28483	-46501.621	1638.0178	-44863.603	2.5771806
755000	755	14364	878.73881	-46465.919	1631.4344	-44834.485	2.5682294
760000	760	14364	888.30146	-46494.09	1649.188	-44844.901	2.5736287
765000	765	14364	878.48942	-46509.656	1630.9714	-44878.684	2.5774625
770000	770	14364	880.9979	-46468.276	1635.6285	-44832.647	2.5626309
775000	775	14364	874.83128	-46501.28	1624.1798	-44877.1	2.5764027
780000	780	14364	888.49026	-46513.856	1649.5385	-44864.317	2.5858699
785000	785	14364	889.40535	-46496.022	1651.2375	-44844.784	2.571725
790000	790	14364	876.79118	-46453.823	1627.8185	-44826.005	2.5682658
795000	795	14364	879.27562	-46498.09	1632.431	-44865.659	2.5859596
800000	800	14364	878.25516	-46478.747	1630.5364	-44848.211	2.5655571
805000	805	14364	879.49236	-46476.65	1632.8334	-44843.817	2.5657076
810000	810	14364	881.26502	-46485.847	1636.1244	-44849.723	2.5821951
815000	815	14364	883.39147	-46485.542	1640.0723	-44845.47	2.5725195
820000	820	14364	881.58993	-46461.685	1636.7277	-44824.958	2.5662195
825000	825	14364	885.3727	-46490.649	1643.7506	-44846.898	2.5780676
830000	830	14364	883.92253	-46496.952	1641.0583	-44855.893	2.5765983
835000	835	14364	875.87058	-46462.034	1626.1093	-44835.925	2.5606549
840000	840	14364	887.92175	-46487.989	1648.4831	-44839.506	2.5778616
845000	845	14364	883.11636	-46479.754	1639.5616	-44840.192	2.5772883
850000	850	14364	876.09751	-46476.193	1626.5306	-44849.662	2.5689312
855000	855	14364	878.92526	-46490.54	1631.7805	-44858.759	2.571094
860000	860	14364	888.44513	-46514.382	1649.4548	-44864.927	2.5792956
865000	865	14364	872.99295	-46488.131	1620.7668	-44867.365	2.5637168
870000	870	14364	876.66552	-46494.6	1627.5852	-44867.015	2.5743803
875000	875	14364	877.98389	-46489.006	1630.0328	-44858.973	2.5779471
880000	880	14364	873.41466	-46470.8	1621.5497	-44849.25	2.5600981
885000	885	14364	886.40745	-46509.427	1645.6717	-44863.755	2.5735344
890000	890	14364	882.54017	-46503.819	1638.4918	-44865.327	2.5789629
895000	895	14364	882.96851	-46485.002	1639.2871	-44845.715	2.5677688
900000	900	14364	879.37514	-46490.432	1632.6157	-44857.816	2.5648708
905000	905	14364	881.10955	-46506.213	1635.8358	-44870.378	2.5763294
910000	910	14364	888.58075	-46484.587	1649.7065	-44834.88	2.5673871
915000	915	14364	866.01961	-46469.08	1607.8204	-44861.259	2.5630087
920000	920	14364	885.35041	-46481.233	1643.7092	-44837.523	2.573263
925000	925	14364	881.81401	-46493.068	1637.1437	-44855.924	2.5623681
930000	930	14364	883.01806	-46454.376	1639.3791	-44814.997	2.5695875
935000	935	14364	882.77158	-46476.811	1638.9215	-44837.89	2.5834849
940000	940	14364	875.58353	-46499.495	1625.5764	-44873.918	2.5745133
945000	945	14364	881.85013	-46459.916	1637.2107	-44822.705	2.573359
950000	950	14364	881.7225	-46497.657	1636.9738	-44860.683	2.576314
955000	955	14364	882.23039	-46498.975	1637.9167	-44861.058	2.580483
960000	960	14364	882.10384	-46468.572	1637.6818	-44830.89	2.5657987
965000	965	14364	886.17986	-46488.503	1645.2491	-44843.254	2.5742299
970000	970	14364	870.03534	-46496.165	1615.2758	-44880.889	2.5703738
975000	975	14364	888.01104	-46468.363	1648.6489	-44819.715	2.5613653
980000	980	14364	883.62833	-46495.61	1640.5121	-44855.098	2.5691874
985000	985	14364	881.10567	-46492.769	1635.8286	-44856.94	2.5844635
990000	990	14364	880.05564	-46482.731	1633.8791	-44848.852	2.5616426
995000	995	14364	883.92675	-46467.027	1641.0661	-44825.961	2.566628
1000000	1000	14364	885.09668	-46493.424	1643.2382	-44850.186	2.5791936
1005000	1005	14364	884.81498	-46493.26	1642.7152	-44850.545	2.5602198
