Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
0	0	14361	1500	-48015.209	2784.2635	-45230.945	2.6592611
5000	5	14361	773.3895	-46645.324	1435.5468	-45209.777	2.5773891
10000	10	14361	781.41255	-46579.012	1450.439	-45128.573	2.5596426
15000	15	14361	779.4626	-46725.963	1446.8195	-45279.144	2.6510531
20000	20	14361	781.87318	-46655.35	1451.294	-45204.056	2.5867815
25000	25	14361	771.16942	-46562.674	1431.4259	-45131.248	2.5593532
30000	30	14361	780.29782	-46717.355	1448.3698	-45268.985	2.6406958
35000	35	14361	771.86331	-46680.073	1432.7139	-45247.359	2.5961184
40000	40	14361	779.23292	-46550.512	1446.3932	-45104.119	2.553231
45000	45	14361	783.20845	-46697.619	1453.7725	-45243.846	2.6239577
50000	50	14361	780.37894	-46706.169	1448.5204	-45257.648	2.6021096
55000	55	14361	782.01369	-46525.48	1451.5548	-45073.926	2.5520279
60000	60	14361	776.94533	-46709.925	1442.147	-45267.778	2.616006
65000	65	14361	778.98032	-46713.98	1445.9243	-45268.055	2.6208828
70000	70	14361	780.98938	-46533.144	1449.6535	-45083.49	2.5480024
75000	75	14361	770.27337	-46690.908	1429.7627	-45261.145	2.6050643
80000	80	14361	781.512	-46717.827	1450.6236	-45267.204	2.6263316
85000	85	14361	777.83129	-46538.487	1443.7915	-45094.696	2.5532964
90000	90	14361	781.76287	-46686.315	1451.0892	-45235.226	2.5967185
95000	95	14361	779.79709	-46707.321	1447.4404	-45259.88	2.636137
100000	100	14361	777.35049	-46578.17	1442.8991	-45135.271	2.5620081
105000	105	14361	781.5413	-46639.922	1450.678	-45189.244	2.5902802
110000	110	14361	784.13092	-46714.064	1455.4847	-45258.579	2.6377722
115000	115	14361	770.2917	-46603.559	1429.7967	-45173.762	2.5657485
120000	120	14361	771.86998	-46638.513	1432.7263	-45205.787	2.5768368
125000	125	14361	774.56195	-46698.438	1437.7231	-45260.715	2.6353125
130000	130	14361	773.02398	-46634.889	1434.8683	-45200.021	2.5766787
135000	135	14361	779.55377	-46604.065	1446.9887	-45157.076	2.570772
140000	140	14361	782.02796	-46699.421	1451.5813	-45247.84	2.6310577
145000	145	14361	785.73679	-46665.797	1458.4655	-45207.331	2.5801792
150000	150	14361	776.9767	-46604.858	1442.2052	-45162.652	2.5591779
155000	155	14361	780.69568	-46700.575	1449.1083	-45251.467	2.6265064
160000	160	14361	774.73057	-46683.428	1438.036	-45245.392	2.5951609
165000	165	14361	776.37181	-46584.288	1441.0825	-45143.205	2.5661552
170000	170	14361	773.60833	-46701.746	1435.953	-45265.793	2.6220673
175000	175	14361	776.88188	-46686.494	1442.0293	-45244.464	2.6026385
180000	180	14361	786.42486	-46581.107	1459.7427	-45121.364	2.5621571
185000	185	14361	778.49609	-46698.539	1445.0255	-45253.514	2.6156144
190000	190	14361	789.35277	-46692.407	1465.1774	-45227.229	2.6120426
195000	195	14361	776.14233	-46572.402	1440.6565	-45131.746	2.5619033
200000	200	14361	786.12871	-46683.628	1459.193	-45224.435	2.6082666
205000	205	14361	785.70093	-46686.748	1458.399	-45228.349	2.6175985
210000	210	14361	778.17046	-46576.13	1444.4211	-45131.709	2.5587279
215000	215	14361	782.46712	-46683.044	1452.3964	-45230.648	2.601864
220000	220	14361	781.13379	-46703.356	1449.9216	-45253.434	2.6209011
