Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
0	0	14363	1600	-48016.076	2970.2947	-45045.781	2.6576642
5000	5	14363	830.35997	-46533.151	1541.5087	-44991.643	2.5674188
10000	10	14363	826.83695	-46479.805	1534.9684	-44944.837	2.5469813
15000	15	14363	832.31795	-46624.3	1545.1435	-45079.157	2.6444396
20000	20	14363	834.92804	-46575.569	1549.989	-45025.58	2.5856677
25000	25	14363	837.44025	-46419.33	1554.6527	-44864.677	2.5421726
30000	30	14363	829.2614	-46624.819	1539.4692	-45085.35	2.6233384
35000	35	14363	824.44515	-46610.767	1530.5282	-45080.239	2.6015266
40000	40	14363	819.63201	-46409.912	1521.5929	-44888.319	2.5386994
45000	45	14363	823.1311	-46614.986	1528.0887	-45086.897	2.6056676
50000	50	14363	826.14345	-46632.523	1533.681	-45098.842	2.6147803
55000	55	14363	826.18534	-46414.448	1533.7587	-44880.689	2.5362998
60000	60	14363	831.32318	-46582.385	1543.2968	-45039.088	2.5874484
65000	65	14363	831.88477	-46622.226	1544.3393	-45077.887	2.6253002
70000	70	14363	832.30541	-46456.188	1545.1202	-44911.067	2.5453199
75000	75	14363	833.55997	-46545.513	1547.4492	-44998.064	2.5748522
80000	80	14363	825.19173	-46611.618	1531.9142	-45079.704	2.6311378
85000	85	14363	830.619	-46483.884	1541.9895	-44941.894	2.5553515
90000	90	14363	838.14515	-46523.488	1555.9613	-44967.527	2.5608407
95000	95	14363	828.63883	-46622.321	1538.3135	-45084.008	2.6289733
100000	100	14363	823.24953	-46545.777	1528.3086	-45017.469	2.5692335
105000	105	14363	829.40854	-46470.147	1539.7424	-44930.405	2.5460254
110000	110	14363	828.94125	-46637.609	1538.8749	-45098.734	2.6280957
115000	115	14363	837.95091	-46572.706	1555.6007	-45017.106	2.5843637
120000	120	14363	825.22775	-46445.667	1531.981	-44913.686	2.5439332
125000	125	14363	826.43754	-46617.21	1534.2269	-45082.983	2.6177088
130000	130	14363	825.99968	-46603.716	1533.4141	-45070.302	2.5952305
135000	135	14363	831.59348	-46443.461	1543.7986	-44899.663	2.544165
140000	140	14363	832.28439	-46620.604	1545.0812	-45075.523	2.6004936
145000	145	14363	834.12909	-46601.758	1548.5058	-45053.252	2.6090979
150000	150	14363	832.46043	-46434.99	1545.408	-44889.582	2.543832
155000	155	14363	834.47464	-46609.65	1549.1473	-45060.502	2.5886539
160000	160	14363	832.15097	-46616.696	1544.8335	-45071.863	2.6136746
165000	165	14363	826.39513	-46462.758	1534.1482	-44928.61	2.548956
170000	170	14363	825.86248	-46566.776	1533.1594	-45033.616	2.5808635
175000	175	14363	820.03912	-46594.234	1522.3487	-45071.886	2.615257
180000	180	14363	818.5394	-46504.586	1519.5645	-44985.021	2.5650237
185000	185	14363	826.87463	-46531.475	1535.0383	-44996.437	2.5687147
190000	190	14363	823.6671	-46620.756	1529.0838	-45091.672	2.6192187
195000	195	14363	830.92411	-46529.298	1542.5559	-44986.742	2.5650602
200000	200	14363	828.09666	-46508.127	1537.307	-44970.82	2.5589006
205000	205	14363	819.02248	-46617.341	1520.4614	-45096.88	2.6185085
210000	210	14363	833.84357	-46563.933	1547.9757	-45015.957	2.5712528
215000	215	14363	837.08228	-46487.242	1553.9882	-44933.254	2.5520636
220000	220	14363	832.38037	-46602.593	1545.2594	-45057.334	2.6115664
225000	225	14363	824.76594	-46572.987	1531.1237	-45041.864	2.585886
230000	230	14363	830.70289	-46474.615	1542.1453	-44932.469	2.5494071
235000	235	14363	823.1834	-46609.717	1528.1858	-45081.531	2.6048305
240000	240	14363	819.11466	-46589.554	1520.6325	-45068.921	2.590666
245000	245	14363	823.06769	-46475.755	1527.971	-44947.784	2.5460381
250000	250	14363	836.2191	-46588.396	1552.3857	-45036.01	2.5916606
255000	255	14363	829.35306	-46609.694	1539.6394	-45070.055	2.597265
260000	260	14363	832.37875	-46485.163	1545.2564	-44939.907	2.5548417
265000	265	14363	824.75213	-46579.246	1531.0981	-45048.148	2.588351
270000	270	14363	829.54135	-46622.047	1539.9889	-45082.058	2.6135318
275000	275	14363	837.13864	-46494.204	1554.0928	-44940.111	2.5598928
280000	280	14363	835.2105	-46566.092	1550.5133	-45015.578	2.5763275
285000	285	14363	823.97453	-46593.314	1529.6545	-45063.66	2.6105964
290000	290	14363	839.77491	-46531.497	1558.9869	-44972.51	2.5604118
295000	295	14363	833.77565	-46524.857	1547.8496	-44977.008	2.5728825
300000	300	14363	835.90424	-46606.688	1551.8012	-45054.887	2.6185309
305000	305	14363	821.88022	-46547.695	1525.7665	-45021.928	2.5684504
310000	310	14363	831.96019	-46531.532	1544.4793	-44987.053	2.5632751
315000	315	14363	828.91389	-46607.29	1538.8241	-45068.466	2.6094629
320000	320	14363	820.84977	-46551.729	1523.8536	-45027.875	2.5803102
325000	325	14363	823.96013	-46514.574	1529.6278	-44984.946	2.5580114
330000	330	14363	821.28852	-46600.139	1524.6681	-45075.471	2.6086413
335000	335	14363	828.86193	-46604.691	1538.7276	-45065.963	2.5934348
340000	340	14363	819.82641	-46484.649	1521.9538	-44962.695	2.5553813
345000	345	14363	845.17549	-46595.924	1569.0127	-45026.912	2.6045107
350000	350	14363	834.02135	-46597.732	1548.3058	-45049.427	2.6007212
355000	355	14363	829.01604	-46508.12	1539.0137	-44969.106	2.5607384
360000	360	14363	830.64896	-46590.902	1542.0451	-45048.857	2.5960708
365000	365	14363	822.38163	-46618.301	1526.6974	-45091.603	2.603037
370000	370	14363	829.0859	-46530.625	1539.1434	-44991.481	2.5653419
375000	375	14363	827.18727	-46583.709	1535.6187	-45048.09	2.5813732
380000	380	14363	837.84356	-46607.173	1555.4014	-45051.772	2.6041328
385000	385	14363	823.05551	-46531.716	1527.9484	-45003.767	2.5644298
390000	390	14363	834.72731	-46571.071	1549.6163	-45021.454	2.5766938
395000	395	14363	829.76396	-46612.376	1540.4022	-45071.973	2.6072708
400000	400	14363	823.58336	-46522.824	1528.9283	-44993.896	2.5721695
405000	405	14363	828.39846	-46554.631	1537.8672	-45016.764	2.5702676
410000	410	14363	829.52459	-46621.127	1539.9578	-45081.169	2.6074137
415000	415	14363	832.82332	-46554.433	1546.0817	-45008.351	2.5717001
420000	420	14363	831.77085	-46541.578	1544.1279	-44997.45	2.5693702
425000	425	14363	830.27981	-46594.391	1541.3598	-45053.031	2.6076182
430000	430	14363	836.88693	-46580.37	1553.6255	-45026.744	2.5797538
435000	435	14363	831.27273	-46519.847	1543.2031	-44976.644	2.5629727
440000	440	14363	824.19104	-46607.748	1530.0564	-45077.691	2.6046336
445000	445	14363	840.19474	-46579.174	1559.7663	-45019.407	2.5822399
450000	450	14363	838.05905	-46513.533	1555.8015	-44957.731	2.5624182
455000	455	14363	827.74614	-46606.045	1536.6562	-45069.388	2.5989955
460000	460	14363	829.74436	-46588.469	1540.3658	-45048.103	2.5916923
465000	465	14363	826.25294	-46510.726	1533.8842	-44976.842	2.5643056
470000	470	14363	835.56037	-46580.66	1551.1628	-45029.497	2.5921238
475000	475	14363	835.38861	-46596.494	1550.844	-45045.65	2.6017274
480000	480	14363	830.72903	-46511.997	1542.1938	-44969.803	2.5694391
485000	485	14363	844.41031	-46594.911	1567.5922	-45027.319	2.5889801
490000	490	14363	835.45628	-46613.811	1550.9696	-45062.841	2.6071495
495000	495	14363	831.68576	-46528.844	1543.9699	-44984.874	2.5702234
500000	500	14363	815.62948	-46562.987	1514.1625	-45048.825	2.5883741
505000	505	14363	836.21981	-46593.184	1552.3871	-45040.797	2.6068992
510000	510	14363	834.01919	-46541.112	1548.3018	-44992.811	2.5743121
515000	515	14363	840.73178	-46570.927	1560.7632	-45010.164	2.5804958
520000	520	14363	827.18616	-46589.745	1535.6167	-45054.128	2.6090389
525000	525	14363	839.30418	-46566.957	1558.113	-45008.844	2.5794641
530000	530	14363	837.3796	-46548.989	1554.5401	-44994.449	2.5773206
535000	535	14363	830.27558	-46607.196	1541.352	-45065.844	2.6043559
540000	540	14363	832.22795	-46563.658	1544.9764	-45018.682	2.5840819
545000	545	14363	830.20781	-46574.26	1541.2262	-45033.034	2.5760662
550000	550	14363	830.78148	-46608.204	1542.2911	-45065.912	2.6028434
555000	555	14363	828.98348	-46567.7	1538.9533	-45028.747	2.5871435
560000	560	14363	824.50486	-46526.584	1530.639	-44995.944	2.5729838
565000	565	14363	822.01634	-46603.959	1526.0193	-45077.94	2.6008537
570000	570	14363	828.04597	-46593.144	1537.2129	-45055.931	2.5944817
575000	575	14363	832.3629	-46534.849	1545.227	-44989.623	2.573036
580000	580	14363	843.73104	-46596.125	1566.3312	-45029.794	2.5952338
585000	585	14363	830.94555	-46582.441	1542.5957	-45039.845	2.5929939
590000	590	14363	829.4392	-46553.825	1539.7993	-45014.025	2.5727373
595000	595	14363	839.81783	-46587.253	1559.0665	-45028.187	2.5922268
600000	600	14363	830.67065	-46594.341	1542.0854	-45052.256	2.596156
605000	605	14363	831.27974	-46549.585	1543.2161	-45006.369	2.5705974
610000	610	14363	827.39007	-46589.545	1535.9952	-45053.549	2.5867687
615000	615	14363	827.73453	-46609.984	1536.6347	-45073.35	2.5997472
620000	620	14363	830.75241	-46552.881	1542.2372	-45010.644	2.5763084
625000	625	14363	832.79959	-46578.345	1546.0376	-45032.308	2.581614
630000	630	14363	827.94083	-46585.343	1537.0177	-45048.325	2.6012018
635000	635	14363	829.06949	-46550.302	1539.113	-45011.189	2.5806994
640000	640	14363	828.90542	-46574.175	1538.8084	-45035.367	2.5788269
645000	645	14363	834.38314	-46605.653	1548.9774	-45056.675	2.6062175
650000	650	14363	822.20258	-46567.12	1526.365	-45040.755	2.5814259
655000	655	14363	822.6726	-46573.623	1527.2376	-45046.386	2.5709114
660000	660	14363	833.99239	-46604.058	1548.252	-45055.806	2.5970355
665000	665	14363	823.8734	-46589.361	1529.4668	-45059.894	2.5791745
670000	670	14363	829.02459	-46553.073	1539.0296	-45014.043	2.5771351
675000	675	14363	835.72796	-46587.877	1551.474	-45036.403	2.5983205
680000	680	14363	836.61026	-46584.1	1553.1119	-45030.988	2.5826339
685000	685	14363	822.40695	-46544.325	1526.7444	-45017.581	2.5782028
690000	690	14363	826.71494	-46591.344	1534.7419	-45056.603	2.5928836
695000	695	14363	832.68666	-46562.887	1545.828	-45017.059	2.589401
700000	700	14363	826.80148	-46561.668	1534.9026	-45026.766	2.5756087
705000	705	14363	826.83985	-46584.841	1534.9738	-45049.867	2.5916052
710000	710	14363	820.37061	-46598.363	1522.9641	-45075.399	2.5916499
715000	715	14363	841.21861	-46542.553	1561.667	-44980.886	2.5739459
720000	720	14363	823.43692	-46585.502	1528.6565	-45056.846	2.5891718
725000	725	14363	829.21446	-46594.065	1539.3821	-45054.682	2.5941686
730000	730	14363	836.58964	-46547.584	1553.0736	-44994.51	2.5749768
735000	735	14363	832.60119	-46575.168	1545.6693	-45029.499	2.5877999
740000	740	14363	834.07603	-46587.57	1548.4073	-45039.163	2.5972097
745000	745	14363	837.41163	-46566.892	1554.5996	-45012.292	2.5810988
750000	750	14363	832.75457	-46584.429	1545.9541	-45038.475	2.5759199
755000	755	14363	827.53378	-46600.183	1536.262	-45063.921	2.5976536
760000	760	14363	830.11921	-46560.923	1541.0617	-45019.861	2.5796967
765000	765	14363	829.89067	-46575.062	1540.6374	-45034.425	2.5837395
770000	770	14363	825.93814	-46600.333	1533.2998	-45067.033	2.5989014
775000	775	14363	826.17015	-46558.514	1533.7305	-45024.783	2.5828696
780000	780	14363	838.73401	-46574.487	1557.0545	-45017.432	2.5796971
785000	785	14363	836.5998	-46599.76	1553.0925	-45046.667	2.5974372
790000	790	14363	827.44616	-46589.702	1536.0994	-45053.603	2.5808346
795000	795	14363	832.95375	-46568.976	1546.3238	-45022.652	2.5770087
800000	800	14363	834.88488	-46622.768	1549.9088	-45072.859	2.5941942
805000	805	14363	843.42045	-46581.076	1565.7546	-45015.322	2.5860948
810000	810	14363	832.07588	-46555.874	1544.6941	-45011.18	2.5765327
815000	815	14363	835.34197	-46583.816	1550.7574	-45033.059	2.593197
820000	820	14363	820.35494	-46592.199	1522.935	-45069.264	2.590551
825000	825	14363	829.91741	-46581.245	1540.6871	-45040.558	2.5739438
830000	830	14363	842.12781	-46580.999	1563.3549	-45017.644	2.592798
835000	835	14363	833.02229	-46597.054	1546.4511	-45050.603	2.5924507
840000	840	14363	824.67963	-46567.724	1530.9635	-45036.76	2.5760032
845000	845	14363	833.67022	-46596.454	1547.6539	-45048.8	2.5848083
850000	850	14363	832.43649	-46584.958	1545.3636	-45039.595	2.5921628
855000	855	14363	839.78903	-46559.607	1559.0131	-45000.594	2.5779054
860000	860	14363	822.52359	-46592.146	1526.9609	-45065.185	2.5821819
865000	865	14363	833.88051	-46588.794	1548.0443	-45040.75	2.5971451
870000	870	14363	828.96165	-46576.764	1538.9128	-45037.851	2.5801731
875000	875	14363	835.20591	-46592.251	1550.5048	-45041.746	2.5820888
880000	880	14363	821.32996	-46599.24	1524.745	-45074.495	2.5859453
885000	885	14363	828.20338	-46557.615	1537.5051	-45020.11	2.5812951
890000	890	14363	834.00571	-46583.27	1548.2767	-45034.994	2.5869797
895000	895	14363	828.12514	-46581.184	1537.3598	-45043.824	2.5885445
900000	900	14363	831.15777	-46559.806	1542.9897	-45016.816	2.5825864
905000	905	14363	831.68792	-46582.292	1543.9739	-45038.319	2.5781276
910000	910	14363	831.19136	-46600.296	1543.0521	-45057.244	2.5936069
915000	915	14363	824.99419	-46566.496	1531.5474	-45034.948	2.5768864
920000	920	14363	836.01934	-46578.92	1552.0149	-45026.905	2.5798662
925000	925	14363	825.58971	-46581.418	1532.653	-45048.765	2.5886969
930000	930	14363	833.9458	-46594.537	1548.1655	-45046.372	2.581169
935000	935	14363	827.83421	-46567.165	1536.8197	-45030.345	2.5803436
940000	940	14363	835.17606	-46593.037	1550.4494	-45042.588	2.5919235
945000	945	14363	834.02363	-46585.011	1548.31	-45036.701	2.5842156
950000	950	14363	830.21716	-46575.93	1541.2435	-45034.687	2.5810028
955000	955	14363	830.90114	-46601.085	1542.5133	-45058.572	2.589674
960000	960	14363	830.45863	-46586.441	1541.6918	-45044.749	2.5886248
965000	965	14363	832.93586	-46582.011	1546.2906	-45035.721	2.5818129
970000	970	14363	827.9066	-46591.41	1536.9541	-45054.456	2.5894308
975000	975	14363	828.22781	-46592.384	1537.5504	-45054.834	2.5855323
980000	980	14363	822.76542	-46586.695	1527.4099	-45059.285	2.5803768
985000	985	14363	826.78635	-46593.491	1534.8745	-45058.617	2.5906787
990000	990	14363	824.76423	-46597.736	1531.1205	-45066.616	2.5873331
995000	995	14363	835.84998	-46582.833	1551.7005	-45031.133	2.584698
