Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
0	0	25501	1500	-85358.078	4944.2005	-80413.877	2.6589565
5000	5	25501	763.04509	-82973.861	2515.0986	-80458.762	2.5954267
10000	10	25501	770.12964	-82610.824	2538.4502	-80072.374	2.5373481
15000	15	25501	769.29095	-82904.334	2535.6858	-80368.648	2.5788728
20000	20	25501	767.95536	-83016.473	2531.2835	-80485.19	2.6412187
25000	25	25501	766.31609	-82996.294	2525.8803	-80470.414	2.6086266
30000	30	25501	763.96984	-82654.698	2518.1467	-80136.551	2.5458048
35000	35	25501	772.50188	-82810.607	2546.2695	-80264.338	2.56908
40000	40	25501	762.93525	-82994.054	2514.7366	-80479.318	2.6330765
45000	45	25501	771.35876	-83021.119	2542.5016	-80478.617	2.621735
50000	50	25501	767.31163	-82761.367	2529.1617	-80232.205	2.5555043
55000	55	25501	767.12173	-82747.753	2528.5358	-80219.217	2.557006
60000	60	25501	768.23187	-82982.69	2532.1949	-80450.495	2.6144341
65000	65	25501	771.6894	-82969.016	2543.5914	-80425.424	2.6308798
70000	70	25501	767.14484	-82839.825	2528.612	-80311.213	2.5642251
75000	75	25501	764.70298	-82711.959	2520.5633	-80191.396	2.5530537
80000	80	25501	769.3599	-82930.474	2535.9131	-80394.561	2.6023842
85000	85	25501	769.75318	-82959.254	2537.2094	-80422.044	2.635408
90000	90	25501	768.22135	-82909.773	2532.1603	-80377.613	2.5870924
95000	95	25501	763.00305	-82666.684	2514.9601	-80151.724	2.5495955
100000	100	25501	764.58031	-82923.453	2520.1589	-80403.294	2.5856763
105000	105	25501	773.29577	-82965.094	2548.8862	-80416.208	2.6363936
110000	110	25501	768.80468	-82966.772	2534.083	-80432.689	2.6013004
115000	115	25501	765.79934	-82709.273	2524.177	-80185.096	2.551377
120000	120	25501	766.98759	-82850.374	2528.0936	-80322.281	2.5733816
125000	125	25501	760.95106	-82977.083	2508.1964	-80468.886	2.6306216
130000	130	25501	767.61643	-82996.462	2530.1664	-80466.295	2.6133748
135000	135	25501	769.30202	-82741.546	2535.7223	-80205.824	2.5582303
140000	140	25501	768.16631	-82791.511	2531.9789	-80259.532	2.5614493
145000	145	25501	771.28963	-82975.158	2542.2737	-80432.885	2.6229409
150000	150	25501	767.06656	-82988.638	2528.3539	-80460.284	2.6263506
155000	155	25501	768.35886	-82805.571	2532.6135	-80272.957	2.5677223
160000	160	25501	771.92708	-82736.535	2544.3749	-80192.161	2.5559977
165000	165	25501	764.51995	-82969.501	2519.96	-80449.541	2.6120998
170000	170	25501	770.46887	-82984.284	2539.5684	-80444.716	2.6299538
175000	175	25501	761.79307	-82862.119	2510.9718	-80351.147	2.5787229
180000	180	25501	767.62768	-82708.787	2530.2035	-80178.583	2.5535259
185000	185	25501	770.94826	-82939.797	2541.1485	-80398.648	2.5989994
190000	190	25501	774.43179	-82993.986	2552.6307	-80441.355	2.6355691
195000	195	25501	763.94144	-82916.471	2518.0531	-80398.418	2.5897594
200000	200	25501	767.39564	-82689.356	2529.4386	-80159.917	2.5495819
205000	205	25501	765.89181	-82922.109	2524.4818	-80397.627	2.5892988
210000	210	25501	767.36583	-82993.002	2529.3404	-80463.662	2.631863
215000	215	25501	764.84965	-82941.426	2521.0467	-80420.379	2.5940011
220000	220	25501	770.22991	-82738.826	2538.7808	-80200.045	2.5528363
225000	225	25501	779.3943	-82863.124	2568.9878	-80294.136	2.5764997
230000	230	25501	764.56007	-82990.375	2520.0922	-80470.282	2.6244324
235000	235	25501	770.45485	-82968.795	2539.5222	-80429.273	2.6091609
240000	240	25501	777.08621	-82772.225	2561.3801	-80210.845	2.5608628
245000	245	25501	762.08977	-82819.496	2511.9498	-80307.546	2.5692753
250000	250	25501	771.38077	-82993.428	2542.5742	-80450.854	2.6196315
255000	255	25501	770.77954	-82970.858	2540.5924	-80430.266	2.6191561
260000	260	25501	767.55928	-82804.333	2529.978	-80274.355	2.5667569
265000	265	25501	767.32278	-82775.038	2529.1985	-80245.84	2.5618427
270000	270	25501	769.17196	-82974.426	2535.2936	-80439.132	2.6097529
275000	275	25501	766.20329	-82965.752	2525.5085	-80440.243	2.6251193
280000	280	25501	770.79399	-82862.928	2540.64	-80322.288	2.5803539
285000	285	25501	765.91922	-82760.028	2524.5721	-80235.456	2.5571118
290000	290	25501	772.75306	-82925.399	2547.0974	-80378.301	2.5985642
295000	295	25501	773.145	-82953.263	2548.3893	-80404.874	2.627909
300000	300	25501	774.61756	-82918.371	2553.243	-80365.128	2.5874412
305000	305	25501	770.17397	-82731.291	2538.5964	-80192.695	2.555036
310000	310	25501	764.59609	-82912.468	2520.2109	-80392.257	2.5843415
315000	315	25501	774.67616	-82976.133	2553.4362	-80422.697	2.6261728
320000	320	25501	765.20569	-82951.989	2522.2202	-80429.769	2.5944574
325000	325	25501	769.04992	-82741.668	2534.8914	-80206.776	2.5572951
330000	330	25501	767.62854	-82878.751	2530.2063	-80348.545	2.5779148
335000	335	25501	765.62479	-82976.971	2523.6017	-80453.37	2.6238064
340000	340	25501	767.9601	-82957.365	2531.2991	-80426.066	2.6064554
345000	345	25501	770.08	-82771.711	2538.2866	-80233.424	2.5621256
350000	350	25501	774.74306	-82838.074	2553.6567	-80284.417	2.5718847
355000	355	25501	762.74211	-82977.366	2514.1	-80463.266	2.6158299
360000	360	25501	768.69255	-82944.577	2533.7134	-80410.864	2.6137788
365000	365	25501	763.30589	-82844.176	2515.9583	-80328.217	2.5716759
370000	370	25501	771.31063	-82802.933	2542.343	-80260.59	2.5628781
375000	375	25501	768.96019	-82966.393	2534.5956	-80431.797	2.6090477
380000	380	25501	767.81694	-82980.006	2530.8273	-80449.178	2.6167677
385000	385	25501	764.43965	-82863.175	2519.6953	-80343.479	2.5773004
390000	390	25501	764.53609	-82775.691	2520.0132	-80255.678	2.5634968
395000	395	25501	769.98367	-82959.417	2537.9691	-80421.448	2.6009785
400000	400	25501	768.2592	-82966.13	2532.285	-80433.845	2.6236112
405000	405	25501	771.50064	-82893.697	2542.9693	-80350.728	2.5859251
410000	410	25501	769.75483	-82766.015	2537.2148	-80228.8	2.5634695
415000	415	25501	770.9268	-82901.354	2541.0778	-80360.276	2.5897688
420000	420	25501	760.24773	-82974.342	2505.8782	-80468.464	2.6194102
425000	425	25501	766.98375	-82920.697	2528.081	-80392.616	2.5953544
430000	430	25501	766.70129	-82778.777	2527.15	-80251.627	2.5642359
