Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
0	0	36018	1500	-120618.27	6983.344	-113634.92	2.6629022
5000	5	36018	764.46928	-117251.21	3559.0346	-113692.17	2.6016504
10000	10	36018	767.36032	-116855.84	3572.494	-113283.34	2.554712
15000	15	36018	773.39598	-116974.67	3600.5934	-113374.08	2.5668109
20000	20	36018	765.42461	-117269.92	3563.4822	-113706.43	2.6169657
25000	25	36018	764.16493	-117252.26	3557.6177	-113694.64	2.6435109
30000	30	36018	766.27582	-117176.72	3567.4451	-113609.27	2.5951259
35000	35	36018	764.55943	-116775.2	3559.4543	-113215.74	2.5451675
40000	40	36018	771.02408	-117078.06	3589.5509	-113488.51	2.5753395
45000	45	36018	766.65551	-117300.38	3569.2128	-113731.17	2.632023
50000	50	36018	767.24367	-117258.27	3571.951	-113686.32	2.6350707
55000	55	36018	763.41643	-117126.69	3554.133	-113572.55	2.5802441
60000	60	36018	766.03142	-116816.17	3566.3072	-113249.86	2.549
65000	65	36018	776.39908	-117178.5	3614.5746	-113563.93	2.5892878
70000	70	36018	762.8685	-117306.84	3551.5821	-113755.26	2.6433104
75000	75	36018	767.22813	-117313.07	3571.8786	-113741.19	2.6247427
80000	80	36018	763.95134	-116961.87	3556.6233	-113405.24	2.5637199
85000	85	36018	763.69066	-116886.26	3555.4097	-113330.85	2.5544447
90000	90	36018	763.52133	-117245.04	3554.6214	-113690.42	2.5972909
95000	95	36018	765.24961	-117246.34	3562.6675	-113683.67	2.6434437
100000	100	36018	771.77776	-117261.56	3593.0597	-113668.5	2.6106961
105000	105	36018	767.24019	-116911.51	3571.9348	-113339.58	2.5587283
110000	110	36018	763.19678	-116957.64	3553.1104	-113404.53	2.5623212
115000	115	36018	766.22517	-117291.33	3567.2093	-113724.12	2.6215691
120000	120	36018	770.38352	-117265.2	3586.5687	-113678.63	2.6427078
125000	125	36018	765.95967	-117203.14	3565.9732	-113637.16	2.594393
130000	130	36018	768.21742	-116855.05	3576.4843	-113278.56	2.5534283
135000	135	36018	767.25828	-117062.24	3572.019	-113490.22	2.5737835
140000	140	36018	764.50874	-117274.77	3559.2183	-113715.55	2.6327351
145000	145	36018	768.32657	-117265.48	3576.9925	-113688.48	2.6338231
150000	150	36018	769.38061	-117064.55	3581.8996	-113482.65	2.5773173
155000	155	36018	767.38688	-116874.83	3572.6177	-113302.22	2.5537727
160000	160	36018	764.39049	-117131.06	3558.6678	-113572.39	2.5873515
165000	165	36018	763.95898	-117236.75	3556.6589	-113680.09	2.6321865
170000	170	36018	766.13426	-117282.18	3566.786	-113715.39	2.6259243
175000	175	36018	765.68279	-117001.99	3564.6842	-113437.31	2.568675
180000	180	36018	768.1757	-116900.75	3576.2901	-113324.46	2.5568002
