Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
0	0	21558	1800	-72109.339	5015.6297	-67093.709	2.651333
5000	5	21558	922.65731	-69670.571	2570.9486	-67099.623	2.5844843
10000	10	21558	915.63252	-69305.934	2551.3743	-66754.56	2.5156059
15000	15	21558	920.26297	-69324.749	2564.2768	-66760.472	2.5161592
20000	20	21558	923.34492	-69643.97	2572.8646	-67071.106	2.5758378
25000	25	21558	917.83048	-69699.769	2557.4988	-67142.271	2.6382398
30000	30	21558	917.28857	-69687.846	2555.9888	-67131.857	2.5863076
35000	35	21558	917.76788	-69277.207	2557.3244	-66719.882	2.5080806
40000	40	21558	918.89462	-69321.469	2560.464	-66761.005	2.520425
45000	45	21558	927.67067	-69627.806	2584.9181	-67042.888	2.5756898
50000	50	21558	920.97505	-69686.951	2566.261	-67120.69	2.6309394
55000	55	21558	921.13341	-69664.606	2566.7023	-67097.904	2.5858673
60000	60	21558	928.23115	-69308.083	2586.4798	-66721.603	2.5104255
65000	65	21558	925.5732	-69338.488	2579.0736	-66759.414	2.5212668
70000	70	21558	917.49385	-69633.176	2556.5608	-67076.615	2.5776035
75000	75	21558	920.81529	-69662.927	2565.8159	-67097.111	2.6278311
80000	80	21558	910.471	-69667.947	2536.9919	-67130.955	2.5881296
85000	85	21558	916.87821	-69326.822	2554.8453	-66771.976	2.5158716
90000	90	21558	920.86959	-69339.534	2565.9671	-66773.567	2.5184566
95000	95	21558	923.98506	-69654.636	2574.6483	-67079.987	2.581382
100000	100	21558	921.52252	-69652.538	2567.7865	-67084.751	2.6241554
105000	105	21558	919.58001	-69672.558	2562.3738	-67110.184	2.5859106
110000	110	21558	917.16634	-69360.407	2555.6482	-66804.758	2.5198693
115000	115	21558	918.0031	-69364.092	2557.9798	-66806.113	2.5158111
120000	120	21558	920.59282	-69689.695	2565.1959	-67124.499	2.5856263
125000	125	21558	914.15953	-69657.281	2547.2698	-67110.011	2.6208299
130000	130	21558	916.06254	-69658.354	2552.5725	-67105.782	2.5825374
135000	135	21558	921.19383	-69379.238	2566.8706	-66812.367	2.5227791
140000	140	21558	925.77585	-69368.75	2579.6383	-66789.112	2.5188063
145000	145	21558	914.46667	-69660.478	2548.1257	-67112.352	2.5852192
150000	150	21558	917.63885	-69677.46	2556.9648	-67120.495	2.622889
155000	155	21558	913.86754	-69626.572	2546.4562	-67080.116	2.5705756
160000	160	21558	919.57282	-69345.167	2562.3538	-66782.813	2.5166454
165000	165	21558	921.20027	-69373.329	2566.8886	-66806.441	2.5188731
170000	170	21558	920.66061	-69674.501	2565.3848	-67109.116	2.5864406
175000	175	21558	916.24533	-69673.767	2553.0818	-67120.685	2.6211994
180000	180	21558	911.63998	-69635.441	2540.2492	-67095.192	2.5707328
185000	185	21558	920.04693	-69391.804	2563.6749	-66828.129	2.5226006
190000	190	21558	923.82766	-69393.471	2574.2097	-66819.261	2.5265247
195000	195	21558	911.35499	-69678.255	2539.4551	-67138.8	2.5895565
200000	200	21558	920.95891	-69704.682	2566.216	-67138.466	2.6190828
205000	205	21558	911.07891	-69647.976	2538.6858	-67109.29	2.5731906
210000	210	21558	913.68966	-69375.823	2545.9606	-66829.863	2.5187337
215000	215	21558	920.8843	-69413.509	2566.0081	-66847.501	2.5261527
220000	220	21558	918.33459	-69685.458	2558.9035	-67126.555	2.582678
225000	225	21558	916.31575	-69691.267	2553.278	-67137.989	2.6170794
230000	230	21558	920.27058	-69637.503	2564.298	-67073.205	2.5703232
235000	235	21558	913.85233	-69376.15	2546.4138	-66829.736	2.5214449
240000	240	21558	921.7296	-69418.469	2568.3635	-66850.105	2.5319039
245000	245	21558	915.81238	-69677.229	2551.8754	-67125.353	2.5856815
250000	250	21558	919.84954	-69677.848	2563.1248	-67114.723	2.6123716
255000	255	21558	918.28968	-69615.518	2558.7783	-67056.74	2.5670226
260000	260	21558	917.54962	-69367.354	2556.7162	-66810.638	2.5214179
265000	265	21558	911.95279	-69444.566	2541.1208	-66903.445	2.5352175
270000	270	21558	922.68543	-69669.808	2571.0269	-67098.781	2.5885135
275000	275	21558	909.36409	-69704.856	2533.9075	-67170.948	2.6104248
280000	280	21558	914.70292	-69606.96	2548.784	-67058.176	2.5714806
285000	285	21558	920.74035	-69381.68	2565.607	-66816.073	2.5229803
290000	290	21558	916.19263	-69460.841	2552.935	-66907.906	2.5352948
295000	295	21558	919.50168	-69669.045	2562.1555	-67106.889	2.5906808
300000	300	21558	917.01718	-69690.828	2555.2326	-67135.595	2.6097864
305000	305	21558	908.14671	-69616.019	2530.5153	-67085.504	2.5639273
310000	310	21558	914.15902	-69377.106	2547.2684	-66829.837	2.5251645
315000	315	21558	916.05134	-69487.21	2552.5413	-66934.669	2.5382197
320000	320	21558	912.62951	-69641.687	2543.0065	-67098.681	2.5943549
325000	325	21558	917.24968	-69681.53	2555.8804	-67125.65	2.609592
330000	330	21558	915.36505	-69585.908	2550.629	-67035.279	2.5643247
335000	335	21558	914.46761	-69371.281	2548.1283	-66823.153	2.5244702
340000	340	21558	922.36237	-69508.699	2570.1267	-66938.572	2.5391717
345000	345	21558	924.29279	-69664.454	2575.5057	-67088.949	2.595133
350000	350	21558	912.68058	-69691.6	2543.1488	-67148.451	2.6042938
355000	355	21558	917.29239	-69582.362	2555.9994	-67026.363	2.5601955
360000	360	21558	916.32865	-69415.802	2553.314	-66862.488	2.5204399
365000	365	21558	918.54565	-69535.962	2559.4916	-66976.471	2.5461887
370000	370	21558	924.99996	-69669.935	2577.4763	-67092.459	2.5984929
375000	375	21558	919.08487	-69702.42	2560.9941	-67141.426	2.5997047
380000	380	21558	919.56394	-69568.74	2562.329	-67006.411	2.5567858
385000	385	21558	920.63387	-69397.716	2565.3103	-66832.406	2.5268426
390000	390	21558	920.21359	-69524.395	2564.1392	-66960.256	2.5489895
395000	395	21558	916.52557	-69663.723	2553.8627	-67109.86	2.5942658
400000	400	21558	931.55877	-69682.87	2595.7521	-67087.118	2.6029219
405000	405	21558	921.28656	-69609.755	2567.129	-67042.626	2.5566926
410000	410	21558	923.05809	-69412.451	2572.0653	-66840.386	2.5212251
415000	415	21558	920.33897	-69530.663	2564.4886	-66966.174	2.5507633
420000	420	21558	918.0798	-69690.929	2558.1935	-67132.735	2.599023
425000	425	21558	918.58074	-69682.624	2559.5893	-67123.034	2.6035616
430000	430	21558	913.69717	-69556.079	2545.9815	-67010.097	2.5485379
435000	435	21558	912.72888	-69418.521	2543.2834	-66875.237	2.5300092
440000	440	21558	914.19331	-69511.833	2547.364	-66964.469	2.5536593
445000	445	21558	909.48406	-69680.339	2534.2418	-67146.097	2.6016894
450000	450	21558	921.63454	-69682.473	2568.0987	-67114.375	2.5956426
455000	455	21558	915.30027	-69527.933	2550.4485	-66977.484	2.5521104
460000	460	21558	922.12854	-69421.495	2569.4752	-66852.02	2.5324903
465000	465	21558	922.08351	-69593.522	2569.3497	-67024.172	2.5584134
470000	470	21558	920.89733	-69684.914	2566.0444	-67118.87	2.6000542
475000	475	21558	918.53904	-69677.841	2559.4732	-67118.368	2.5951587
480000	480	21558	918.8258	-69508.272	2560.2722	-66948	2.5535452
485000	485	21558	917.18408	-69438.479	2555.6976	-66882.782	2.5365799
490000	490	21558	921.70487	-69583.008	2568.2946	-67014.713	2.5651752
495000	495	21558	919.51083	-69701.541	2562.181	-67139.36	2.6015626
500000	500	21558	916.62813	-69698.159	2554.1485	-67144.011	2.591666
505000	505	21558	911.86353	-69548.818	2540.8721	-67007.946	2.551996
