Step	Time	Atoms	Temp	PotEng	KinEng	TotEng	Density
430000	430	25501	766.79391	-82789.824	2527.4552	-80262.369	2.5608991
435000	435	25501	765.13103	-82897.396	2521.9742	-80375.422	2.5856419
440000	440	25501	771.17076	-82961.627	2541.8819	-80419.745	2.6211113
445000	445	25501	760.70627	-82947.41	2507.3896	-80440.021	2.5977142
450000	450	25501	765.9625	-82784.257	2524.7148	-80259.542	2.5635035
455000	455	25501	768.23127	-82862.564	2532.193	-80330.371	2.5759789
460000	460	25501	765.7218	-82974.211	2523.9214	-80450.29	2.6132907
465000	465	25501	760.82971	-82977.062	2507.7964	-80469.265	2.6091111
470000	470	25501	771.10236	-82831.163	2541.6565	-80289.506	2.5698391
475000	475	25501	769.48441	-82839.977	2536.3235	-80303.654	2.5708487
480000	480	25501	771.08204	-82943.9	2541.5895	-80402.31	2.6071264
485000	485	25501	771.59187	-82986.091	2543.27	-80442.822	2.6157623
490000	490	25501	770.81895	-82845.058	2540.7223	-80304.336	2.5736113
495000	495	25501	767.73426	-82820.111	2530.5548	-80289.557	2.5692172
500000	500	25501	771.68001	-82973.059	2543.5605	-80429.498	2.6017888
505000	505	25501	777.11013	-82976.618	2561.4589	-80415.159	2.6183795
510000	510	25501	773.75604	-82878.038	2550.4034	-80327.635	2.5845147
515000	515	25501	771.83504	-82801.646	2544.0715	-80257.575	2.5620537
520000	520	25501	768.10625	-82938.603	2531.7809	-80406.822	2.5985386
525000	525	25501	773.77536	-82972.922	2550.4671	-80422.455	2.6179323
530000	530	25501	772.68627	-82926.524	2546.8772	-80379.647	2.59208
535000	535	25501	769.39403	-82802.321	2536.0256	-80266.295	2.5656416
540000	540	25501	769.58002	-82904.005	2536.6386	-80367.366	2.5870593
545000	545	25501	763.72005	-82989.301	2517.3234	-80471.977	2.6183877
550000	550	25501	768.14506	-82950.333	2531.9088	-80418.424	2.5934985
555000	555	25501	776.59138	-82817.297	2559.749	-80257.548	2.5680225
560000	560	25501	768.44792	-82884.755	2532.9071	-80351.848	2.5823731
565000	565	25501	765.53494	-82963.597	2523.3055	-80440.292	2.6165216
570000	570	25501	771.78614	-82949.799	2543.9103	-80405.888	2.6015267
575000	575	25501	773.59685	-82838.213	2549.8787	-80288.335	2.5694052
580000	580	25501	774.78646	-82839.619	2553.7997	-80285.82	2.5760443
585000	585	25501	774.08182	-82961.814	2551.4772	-80410.337	2.6123711
590000	590	25501	770.41023	-82954.449	2539.3751	-80415.074	2.6104008
595000	595	25501	770.77353	-82844.217	2540.5726	-80303.645	2.572679
600000	600	25501	767.27273	-82818.346	2529.0335	-80289.312	2.5742676
605000	605	25501	771.44887	-82943.684	2542.7986	-80400.885	2.6040157
610000	610	25501	768.83073	-82992.675	2534.1689	-80458.506	2.6129389
615000	615	25501	763.34448	-82900.602	2516.0855	-80384.517	2.5776039
620000	620	25501	768.69991	-82847.887	2533.7377	-80314.15	2.5696638
625000	625	25501	768.4043	-82944.404	2532.7633	-80411.64	2.600898
630000	630	25501	763.51475	-82978.067	2516.6467	-80461.421	2.6111074
635000	635	25501	773.40177	-82896.72	2549.2356	-80347.484	2.5884813
640000	640	25501	769.43035	-82806.513	2536.1453	-80270.368	2.5656786
645000	645	25501	768.90121	-82926.552	2534.4012	-80392.151	2.595557
650000	650	25501	769.67309	-82998.869	2536.9454	-80461.923	2.6164029
655000	655	25501	761.91933	-82935.977	2511.388	-80424.589	2.5932089
660000	660	25501	764.51184	-82795.567	2519.9332	-80275.634	2.5716843
665000	665	25501	767.79029	-82926.015	2530.7395	-80395.275	2.5851614
670000	670	25501	775.2917	-82964.937	2555.4651	-80409.472	2.6139113
675000	675	25501	771.39327	-82944.358	2542.6154	-80401.743	2.5940676
680000	680	25501	771.37538	-82840.552	2542.5564	-80297.995	2.5714214
685000	685	25501	768.63883	-82889.661	2533.5363	-80356.124	2.5811897
690000	690	25501	771.54395	-82979.944	2543.112	-80436.832	2.6105252
695000	695	25501	774.88827	-82944.007	2554.1354	-80389.872	2.6081476
700000	700	25501	771.43927	-82855.139	2542.767	-80312.372	2.5709527
705000	705	25501	765.13226	-82840.59	2521.9782	-80318.612	2.5779453
710000	710	25501	770.27764	-82949.899	2538.9381	-80410.961	2.6056009
715000	715	25501	766.98581	-82964.753	2528.0878	-80436.665	2.6103777
720000	720	25501	766.81783	-82847.072	2527.5341	-80319.537	2.5783393
725000	725	25501	762.79462	-82837.911	2514.273	-80323.637	2.5701639
730000	730	25501	772.67539	-82973.059	2546.8414	-80426.218	2.6043207
735000	735	25501	771.71903	-82966.385	2543.6891	-80422.696	2.6117182
740000	740	25501	765.21454	-82881.275	2522.2494	-80359.026	2.5820668
745000	745	25501	769.94904	-82819.641	2537.855	-80281.786	2.571376
750000	750	25501	759.27122	-82932.241	2502.6595	-80429.582	2.5927333
755000	755	25501	772.94066	-82982.095	2547.7158	-80434.38	2.6141276
760000	760	25501	775.5205	-82926.965	2556.2193	-80370.745	2.5900491
765000	765	25501	771.53399	-82842.421	2543.0792	-80299.342	2.5688537
770000	770	25501	773.71565	-82910.232	2550.2702	-80359.962	2.5912041
775000	775	25501	770.05041	-82954.195	2538.1891	-80416.006	2.6149799
780000	780	25501	767.12154	-82907.522	2528.5351	-80378.987	2.5958464
785000	785	25501	769.15149	-82855.24	2535.2261	-80320.014	2.5705064
790000	790	25501	766.46041	-82893.438	2526.356	-80367.082	2.5899496
795000	795	25501	767.33539	-82970.937	2529.24	-80441.697	2.6089484
800000	800	25501	772.77316	-82942.789	2547.1637	-80395.625	2.5975316
805000	805	25501	767.53561	-82845.794	2529.9	-80315.894	2.5755291
810000	810	25501	767.00092	-82874.877	2528.1376	-80346.74	2.5803677
815000	815	25501	772.11214	-82971.275	2544.9849	-80426.29	2.6080701
820000	820	25501	773.81489	-82947.495	2550.5973	-80396.898	2.6007356
825000	825	25501	771.12211	-82858.064	2541.7216	-80316.342	2.5804661
830000	830	25501	766.67775	-82877.863	2527.0724	-80350.791	2.5786244
835000	835	25501	774.47237	-82951.987	2552.7645	-80399.223	2.6061848
840000	840	25501	764.92536	-82948.404	2521.2963	-80427.108	2.6053923
845000	845	25501	765.70574	-82884.945	2523.8685	-80361.076	2.5830889
850000	850	25501	770.85158	-82870.132	2540.8299	-80329.303	2.5774566
